time [s]	total_relief [m]	mean incision[m/s]	mean diffusion [m/s]	energy expenditure [J/s]
0.000000000000000000e+00	9.995364863036807490e-01	1.195594383525655263e-13	0.000000000000000000e+00	1.323144526809510171e+04
3.155760000000000000e+10	9.928025945968774746e-01	1.220213959217893715e-13	0.000000000000000000e+00	1.354755763877187201e+04
6.311520000000000000e+10	9.964453059583777694e-01	1.254830313579691777e-13	0.000000000000000000e+00	1.394077178410383021e+04
9.467280000000000000e+10	1.020084894718358282e+00	1.293180475709916371e-13	0.000000000000000000e+00	1.439363786324605462e+04
1.262304000000000000e+11	1.061128167104030684e+00	1.336661290714980195e-13	0.000000000000000000e+00	1.506354261718499583e+04
1.577880000000000000e+11	1.128436397292804649e+00	1.379108377457331950e-13	0.000000000000000000e+00	1.567513720728214139e+04
1.893456000000000000e+11	1.214316461881124631e+00	1.421717144287977734e-13	0.000000000000000000e+00	1.629390245092072291e+04
2.209032000000000000e+11	1.318397353890014223e+00	1.478413910045892139e-13	0.000000000000000000e+00	1.761533228256046641e+04
2.524608000000000000e+11	1.445020331283576986e+00	1.549334336958973799e-13	0.000000000000000000e+00	1.918644344545714193e+04
2.840184000000000000e+11	1.664328399181915330e+00	1.613447605011938257e-13	0.000000000000000000e+00	2.052917799282332635e+04
3.155760000000000000e+11	1.934081749247974713e+00	1.679096217779703836e-13	0.000000000000000000e+00	2.176511414510955001e+04
3.471336000000000000e+11	2.322074917536411931e+00	1.733739783332929505e-13	0.000000000000000000e+00	2.273854710568191513e+04
3.786912000000000000e+11	2.737240911674028609e+00	1.785576595458557462e-13	0.000000000000000000e+00	2.359951545873060240e+04
4.102488000000000000e+11	3.178365334577026857e+00	1.838308374129733083e-13	0.000000000000000000e+00	2.445814234605835736e+04
4.418064000000000000e+11	3.632371508514539826e+00	1.888905454907648210e-13	0.000000000000000000e+00	2.531658861681198687e+04
4.733640000000000000e+11	4.109987809110252854e+00	1.952116411112638798e-13	0.000000000000000000e+00	2.673468831411387873e+04
5.049216000000000000e+11	4.610185889390248093e+00	2.007020017999035493e-13	0.000000000000000000e+00	2.780154154325286436e+04
5.364792000000000000e+11	5.131982228020286030e+00	2.059405374968755416e-13	0.000000000000000000e+00	2.868759668878834782e+04
5.680368000000000000e+11	5.659844324879367505e+00	2.120142702369055811e-13	0.000000000000000000e+00	2.995362657475283049e+04
5.995944000000000000e+11	6.207556924774401352e+00	2.196275456002168742e-13	0.000000000000000000e+00	3.198122367866809873e+04
6.311520000000000000e+11	6.774278621406821799e+00	2.260057503829775388e-13	0.000000000000000000e+00	3.348842889706771530e+04
6.627096000000000000e+11	7.375357867382264843e+00	2.314307360100259532e-13	0.000000000000000000e+00	3.446046161276097700e+04
6.942672000000000000e+11	7.993642054214308956e+00	2.391440739958031488e-13	0.000000000000000000e+00	3.639046903242302506e+04
7.258248000000000000e+11	8.628382035936738248e+00	2.459003359676075107e-13	0.000000000000000000e+00	3.789926891214701755e+04
7.573824000000000000e+11	9.278861321544997764e+00	2.523649891443439269e-13	0.000000000000000000e+00	3.930829386228552903e+04
7.889400000000000000e+11	9.944579976442172509e+00	2.589917521734945981e-13	0.000000000000000000e+00	4.075489930028285016e+04
8.204976000000000000e+11	1.062476967323223320e+01	2.670181976939026231e-13	0.000000000000000000e+00	4.322175513732730906e+04
8.520552000000000000e+11	1.131874717648422290e+01	2.727762327190145768e-13	0.000000000000000000e+00	4.430946166156396794e+04
8.836128000000000000e+11	1.202591236615727155e+01	2.789861537469516767e-13	0.000000000000000000e+00	4.555445436902963411e+04
9.151704000000000000e+11	1.274569126814932574e+01	2.863472004940471876e-13	0.000000000000000000e+00	4.743476048138294573e+04
9.467280000000000000e+11	1.347753491488864341e+01	2.939735451291969836e-13	0.000000000000000000e+00	4.935028105167904141e+04
9.782856000000000000e+11	1.422091825558514699e+01	3.038745544856596008e-13	0.000000000000000000e+00	5.251259471178198146e+04
1.009843200000000000e+12	1.497533911397717432e+01	3.099276380179168177e-13	0.000000000000000000e+00	5.369384036920462677e+04
1.041400800000000000e+12	1.574031719150349318e+01	3.162242022356747605e-13	0.000000000000000000e+00	5.505318768559211458e+04
1.072958400000000000e+12	1.651539311392067333e+01	3.228271561021121052e-13	0.000000000000000000e+00	5.640741150088221912e+04
1.104516000000000000e+12	1.730012751947225169e+01	3.317218243631813613e-13	0.000000000000000000e+00	5.928957702044262987e+04
1.136073600000000000e+12	1.809410018679859888e+01	3.395973966465209399e-13	0.000000000000000000e+00	6.148985667970007489e+04
1.167631200000000000e+12	1.889690920085534387e+01	3.475458945493051417e-13	0.000000000000000000e+00	6.373252660988627758e+04
1.199188800000000000e+12	1.970817015518378668e+01	3.565506420663764008e-13	0.000000000000000000e+00	6.646660470091259049e+04
1.230746400000000000e+12	2.052751538894879957e+01	3.635982235356582477e-13	0.000000000000000000e+00	6.817807787896304217e+04
1.262304000000000000e+12	2.135459325722892032e+01	3.715094813793335588e-13	0.000000000000000000e+00	7.058735963171590993e+04
1.293861600000000000e+12	2.218906743310931162e+01	3.809137243503877304e-13	0.000000000000000000e+00	7.370211104270302167e+04
1.325419200000000000e+12	2.305257663519040534e+01	3.899999978237141164e-13	0.000000000000000000e+00	7.642833263458604051e+04
1.356976800000000000e+12	2.394361031513311744e+01	3.967139131804272100e-13	0.000000000000000000e+00	7.780792246518396132e+04
1.388534400000000000e+12	2.483948999018845072e+01	4.054258776668446957e-13	0.000000000000000000e+00	8.037598023657281010e+04
1.420092000000000000e+12	2.573999433801825276e+01	4.138184819580968759e-13	0.000000000000000000e+00	8.297550436397617159e+04
1.451649600000000000e+12	2.664491216882496261e+01	4.209267603054967050e-13	0.000000000000000000e+00	8.438842588361485105e+04
1.483207200000000000e+12	2.755404196122433191e+01	4.304929181912088354e-13	0.000000000000000000e+00	8.733543925814963586e+04
1.514764800000000000e+12	2.846719141938304176e+01	4.380132936313872294e-13	0.000000000000000000e+00	8.901692206391559739e+04
1.546322400000000000e+12	2.936199059589937832e+01	4.477962873728754038e-13	0.000000000000000000e+00	9.204827446512346796e+04
1.577880000000000000e+12	3.032671203030960783e+01	4.597376328320322613e-13	0.000000000000000000e+00	9.647971089660069265e+04
1.609437600000000000e+12	3.129297527746282981e+01	4.668219419153007142e-13	0.000000000000000000e+00	9.796741435657012335e+04
1.640995200000000000e+12	3.226070712728812850e+01	4.737956313556085712e-13	0.000000000000000000e+00	9.944967963518074248e+04
1.672552800000000000e+12	3.322983787165118486e+01	4.822078763749001002e-13	0.000000000000000000e+00	1.015098983092374401e+05
1.704110400000000000e+12	3.420030113659937854e+01	4.892563172710644491e-13	0.000000000000000000e+00	1.029892540253176703e+05
1.735668000000000000e+12	3.517203372264836503e+01	4.967367169775626662e-13	0.000000000000000000e+00	1.047691414092536288e+05
1.767225600000000000e+12	3.616597585956100147e+01	5.044461435287094272e-13	0.000000000000000000e+00	1.065499209238166659e+05
1.798783200000000000e+12	3.718063525893542476e+01	5.116117069732028923e-13	0.000000000000000000e+00	1.080147219459029438e+05
1.830340800000000000e+12	3.819440951100186510e+01	5.193638354229936220e-13	0.000000000000000000e+00	1.097997883017888671e+05
1.861898400000000000e+12	3.920734358702623723e+01	5.303419904826055610e-13	0.000000000000000000e+00	1.141519927789701906e+05
1.893456000000000000e+12	4.021948020129143231e+01	5.432260490391084893e-13	0.000000000000000000e+00	1.192801058900606295e+05
1.925013600000000000e+12	4.123085992412599410e+01	5.511295185194973377e-13	0.000000000000000000e+00	1.211643777904507151e+05
1.956571200000000000e+12	4.224152128927777738e+01	5.596648797272048713e-13	0.000000000000000000e+00	1.230540285882872558e+05
1.988128800000000000e+12	4.325150089591551250e+01	5.676829048951984390e-13	0.000000000000000000e+00	1.249395925426316971e+05
2.019686400000000000e+12	4.426082682992357320e+01	5.764582872212892781e-13	0.000000000000000000e+00	1.271780244611103699e+05
2.051244000000000000e+12	4.526951770398663655e+01	5.840730279353337918e-13	0.000000000000000000e+00	1.290767142694935173e+05
2.082801600000000000e+12	4.629763538772814968e+01	5.924382423767690549e-13	0.000000000000000000e+00	1.309879290371562092e+05
2.114359200000000000e+12	4.732414779303244501e+01	6.029359565571958578e-13	0.000000000000000000e+00	1.354867795904738305e+05
2.145916800000000000e+12	4.836872576490056019e+01	6.105843858159489461e-13	0.000000000000000000e+00	1.370589691445021017e+05
2.177474400000000000e+12	4.941081315807039687e+01	6.232355495418011458e-13	0.000000000000000000e+00	1.420257058569571236e+05
2.209032000000000000e+12	5.045053967493385016e+01	6.308339195174708237e-13	0.000000000000000000e+00	1.440138555652649957e+05
2.240589600000000000e+12	5.150712746383329943e+01	6.410948459162831485e-13	0.000000000000000000e+00	1.471759261230760312e+05
2.272147200000000000e+12	5.257924932874419710e+01	6.502072236647196842e-13	0.000000000000000000e+00	1.495769815291135747e+05
2.303704800000000000e+12	5.364730800060002025e+01	6.595230526714828269e-13	0.000000000000000000e+00	1.519980538355437748e+05
2.335262400000000000e+12	5.471152262227290919e+01	6.687301793890170173e-13	0.000000000000000000e+00	1.544196986635294161e+05
2.366820000000000000e+12	5.577210054669671990e+01	6.772743316867159994e-13	0.000000000000000000e+00	1.564501894179599185e+05
2.398377600000000000e+12	5.682923797151608625e+01	6.870595846953870492e-13	0.000000000000000000e+00	1.593216178671892558e+05
2.429935200000000000e+12	5.790119379983677561e+01	6.967662366425594583e-13	0.000000000000000000e+00	1.622140775330189790e+05
2.461492800000000000e+12	5.896902784713948620e+01	7.064453674002841198e-13	0.000000000000000000e+00	1.647063020402715774e+05
2.493050400000000000e+12	6.003296626116282653e+01	7.150190909253020011e-13	0.000000000000000000e+00	1.663371537992076483e+05
2.524608000000000000e+12	6.109322281331355242e+01	7.237647795400299338e-13	0.000000000000000000e+00	1.684022390207463177e+05
2.556165600000000000e+12	6.214999957630152494e+01	7.398328864226104189e-13	0.000000000000000000e+00	1.766906452022423618e+05
2.587723200000000000e+12	6.320348756466292173e+01	7.499767612837933265e-13	0.000000000000000000e+00	1.797325119347219006e+05
