time [s]	total_relief [m]	mean incision[m/s]	mean diffusion [m/s]	energy expenditure [J/s]
0.000000000000000000e+00	1.369959161827956004e-02	3.927112159511770651e-07	5.970754259703479312e-11	2.663512973495631695e-04
6.000000000000000000e+01	1.365437189063540419e-02	3.933750462793940510e-07	-1.185797651850314424e-10	2.695283515327666531e-04
1.200000000000000000e+02	1.374108263575696438e-02	3.903367165592272308e-07	-2.837021917440809543e-10	2.719692244173142108e-04
1.800000000000000000e+02	1.388406882270612312e-02	3.873646598391652373e-07	-4.405818802528910771e-10	2.779714820050572448e-04
2.400000000000000000e+02	1.403067867343281948e-02	3.835781815588915194e-07	-5.891378317593551004e-10	2.816355009476991444e-04
3.000000000000000000e+02	1.417841728184129554e-02	3.802162394735374897e-07	-7.295492805570407193e-10	2.854814327085644816e-04
3.600000000000000000e+02	1.432788480178943599e-02	3.776562874099335980e-07	-8.626063272970116456e-10	2.896759968849269636e-04
4.200000000000000000e+02	1.448049445873119019e-02	3.770885830826324501e-07	-9.885117175356063835e-10	2.942951121338404892e-04
4.800000000000000000e+02	1.463365486132610881e-02	3.752655965763527266e-07	-1.108234460447802313e-09	2.979883835834379151e-04
5.400000000000000000e+02	1.478702958223945298e-02	3.756209464178513733e-07	-1.222319142441477416e-09	3.018256512823603221e-04
6.000000000000000000e+02	1.494091529629879359e-02	3.772965393093294068e-07	-1.329518966643511735e-09	3.055753872952973824e-04
6.600000000000000000e+02	1.509526097577872268e-02	3.767387018188307438e-07	-1.430977467705841925e-09	3.092850929277703143e-04
7.200000000000000000e+02	1.524998076338837140e-02	3.771177033262787427e-07	-1.526605705970911061e-09	3.158320563408764030e-04
7.800000000000000000e+02	1.540577634504951623e-02	3.785157748004875341e-07	-1.617584222978022768e-09	3.195143116757524445e-04
8.400000000000000000e+02	1.556131087055157534e-02	3.801512723776831316e-07	-1.703886420232903633e-09	3.230776725095692564e-04
9.000000000000000000e+02	1.571728452214250088e-02	3.808403012795644361e-07	-1.785636023183628651e-09	3.248547728809087582e-04
9.600000000000000000e+02	1.587323721897873630e-02	3.820312310667294729e-07	-1.861935862949754237e-09	3.282703228873853668e-04
1.020000000000000000e+03	1.602999303412581608e-02	3.839607276233192062e-07	-1.934380586959449541e-09	3.322710303097497499e-04
1.080000000000000000e+03	1.618811880190051261e-02	3.856961180828598527e-07	-2.004323374868389570e-09	3.358688785177729231e-04
1.140000000000000000e+03	1.634796839793731943e-02	3.875276401501442582e-07	-2.071039583092441299e-09	3.396339441377123390e-04
1.200000000000000000e+03	1.650835087237386908e-02	3.889923783017002068e-07	-2.135072478733796209e-09	3.433950792058213463e-04
1.260000000000000000e+03	1.666915740237652488e-02	3.909258573541389961e-07	-2.196269740378763920e-09	3.471359021484719093e-04
1.320000000000000000e+03	1.683121285963409472e-02	3.930616267289900347e-07	-2.254805255401711630e-09	3.509331264709590809e-04
1.380000000000000000e+03	1.699464416084121507e-02	3.952621523565764439e-07	-2.310629706274443520e-09	3.564603085464471935e-04
1.440000000000000000e+03	1.715860201278352620e-02	3.980489445985268495e-07	-2.364260767825643449e-09	3.602277402787067346e-04
1.500000000000000000e+03	1.732220576991266164e-02	4.001053116811285064e-07	-2.415678166375366512e-09	3.640816515154139785e-04
1.560000000000000000e+03	1.748596128886410056e-02	4.022174026581056995e-07	-2.465569400505291975e-09	3.678479131944131309e-04
1.620000000000000000e+03	1.764979316592887870e-02	4.036643709998567222e-07	-2.513487002938694419e-09	3.554267737137146196e-04
1.680000000000000000e+03	1.780974616685248799e-02	4.061906529597157476e-07	-2.558516642484395916e-09	3.592026049428055732e-04
1.740000000000000000e+03	1.797399907954407364e-02	4.086511724098025465e-07	-2.602185776442921850e-09	3.630101007622369151e-04
1.800000000000000000e+03	1.813815474831104863e-02	4.109576006728327316e-07	-2.644696255134235017e-09	3.663802917020712695e-04
1.860000000000000000e+03	1.830235332967604378e-02	4.133824284022571439e-07	-2.685599297953396858e-09	3.699144527241997587e-04
1.920000000000000000e+03	1.846672271524739742e-02	4.159431267269550302e-07	-2.725446700635345967e-09	3.736544912301276579e-04
1.980000000000000000e+03	1.863124661263392337e-02	4.183314987752848053e-07	-2.763409100680139122e-09	3.773648017290207241e-04
2.040000000000000000e+03	1.879589150615171289e-02	4.212989277669035438e-07	-2.800034319419729191e-09	3.811853722466040147e-04
2.100000000000000000e+03	1.896066551753960300e-02	4.243468889717982521e-07	-2.835417823180669023e-09	3.896459070320197377e-04
2.160000000000000000e+03	1.912673749723225666e-02	4.270592715356353824e-07	-2.869626219636599560e-09	3.933805013156288521e-04
2.220000000000000000e+03	1.929164336791105300e-02	4.300055365157690854e-07	-2.902790121375498974e-09	3.973820802197385103e-04
2.280000000000000000e+03	1.945679588569330237e-02	4.327717694581542861e-07	-2.935331995941584583e-09	4.013046780338076530e-04
2.340000000000000000e+03	1.962201053348014076e-02	4.357388467696017006e-07	-2.966765331057364466e-09	4.049591301145324669e-04
2.400000000000000000e+03	1.978726121752011693e-02	4.386066190440090780e-07	-2.997111861233305424e-09	4.086234191472991654e-04
2.460000000000000000e+03	1.995261757213203507e-02	4.417577985085720407e-07	-3.026636991333036542e-09	4.128085406796521686e-04
2.520000000000000000e+03	2.011820981274414777e-02	4.446701383471960473e-07	-3.055074026350591882e-09	4.232471560083082363e-04
2.580000000000000000e+03	2.028549695295973204e-02	4.476006162752346963e-07	-3.082930719544812564e-09	4.269118143150761775e-04
2.640000000000000000e+03	2.045105757469127539e-02	4.514772324322548704e-07	-3.109781743070541877e-09	4.306039588059681032e-04
2.700000000000000000e+03	2.061685703715031640e-02	4.545471308680816851e-07	-3.135282985278120780e-09	4.344458698768884487e-04
2.760000000000000000e+03	2.078274975638924604e-02	4.574436329396730383e-07	-3.160496686735972945e-09	4.381170846301420531e-04
2.820000000000000000e+03	2.094874007735027244e-02	4.609950623167890976e-07	-3.185016172182215705e-09	4.417900921161194302e-04
2.880000000000000000e+03	2.111480393580233289e-02	4.639300803811440986e-07	-3.208543945617093552e-09	4.454080560875295879e-04
2.940000000000000000e+03	2.128094096767428611e-02	4.669061297660197816e-07	-3.231508069017649843e-09	4.489716547165327194e-04
3.000000000000000000e+03	2.144716293843151877e-02	4.700141503330132042e-07	-3.253879346399257292e-09	4.526062554195893787e-04
3.060000000000000000e+03	2.161347958813707518e-02	4.730114572129022239e-07	-3.275973098411027367e-09	4.562350727692426021e-04
3.120000000000000000e+03	2.177987162083779710e-02	4.761036400999071694e-07	-3.297526463381582416e-09	4.598755726836651356e-04
3.180000000000000000e+03	2.194634324848216550e-02	4.792202931269069527e-07	-3.318612770606134082e-09	4.635291716160515156e-04
3.240000000000000000e+03	2.211289274724734591e-02	4.824805936355833980e-07	-3.339225045957619974e-09	4.671458525262187555e-04
3.300000000000000000e+03	2.227950722499468308e-02	4.856292501093429214e-07	-3.359465574785344167e-09	4.707157667713021275e-04
3.360000000000000000e+03	2.244618157289583749e-02	4.888468895711348652e-07	-3.379203952640274997e-09	4.743638854393086770e-04
3.420000000000000000e+03	2.261296324866944596e-02	4.919104284505759268e-07	-3.398465202440559041e-09	4.779317636587134834e-04
3.480000000000000000e+03	2.277978698481705061e-02	4.950435131191016230e-07	-3.416656187902145323e-09	4.815297385147061663e-04
3.540000000000000000e+03	2.294668940061473858e-02	4.980966542703656960e-07	-3.434608014546565996e-09	4.851621093397203571e-04
3.600000000000000000e+03	2.311365838111647392e-02	5.013265380444262343e-07	-3.452193163400468631e-09	4.887720760165667954e-04
3.660000000000000000e+03	2.328070069419167082e-02	5.045314650256275104e-07	-3.469045919880451465e-09	4.922960894862888530e-04
